id,Fattening_group.Pen,age,weight,dfi,cfi
83,202001-69,74,123.5,2.854,206.48154521378945
83,202001-69,75,123.0,3.007,209.48854521378945
83,202001-69,76,124.0,2.572,212.06054521378945
4,202001-68,1,36.5,1.517,34.44826049968625
4,202001-68,2,38.5,1.644,36.09226049968625
4,202001-68,3,39.339,1.602,37.694260499686244
4,202001-68,4,40.39,1.607,39.301260499686244
4,202001-68,5,42.0,1.792,41.093260499686245
4,202001-68,6,43.0,1.374,42.46726049968625
4,202001-68,7,43.5,1.773,44.24026049968625
4,202001-68,8,44.5,1.613,45.85326049968625
4,202001-68,9,45.5,1.687,47.54026049968625
4,202001-68,10,46.5,1.414,48.95426049968625
4,202001-68,11,47.5,1.702,50.65626049968625
4,202001-68,12,48.25,1.562,52.218260499686245
4,202001-68,13,49.75,1.95,54.16826049968625
4,202001-68,14,51.0,1.483,55.651260499686245
4,202001-68,15,51.5,1.604,57.255260499686244
4,202001-68,16,52.0,1.775,59.03026049968624
4,202001-68,17,53.0,1.664,60.694260499686244
4,202001-68,18,54.0,1.81,62.50426049968625
4,202001-68,19,55.5,1.892,64.39626049968625
4,202001-68,20,56.25,1.95,66.34626049968625
4,202001-68,21,58.0,1.912,68.25826049968626
4,202001-68,22,58.0,1.562,69.82026049968626
4,202001-68,23,58.25,1.675,71.49526049968625
4,202001-68,24,58.5,1.742,73.23726049968626
4,202001-68,25,60.5,1.764,75.00126049968625
4,202001-68,26,61.0,1.748,76.74926049968626
4,202001-68,27,62.5,2.188,78.93726049968626
4,202001-68,28,63.5,1.856,80.79326049968626
4,202001-68,29,64.0,1.663,82.45626049968625
4,202001-68,30,65.5,1.935,84.39126049968625
4,202001-68,31,66.5,1.954,86.34526049968625
4,202001-68,32,67.0,2.008,88.35326049968624
4,202001-68,33,68.25,2.188,90.54126049968625
4,202001-68,34,69.5,1.885,92.42626049968625
4,202001-68,35,70.5,2.154,94.58026049968625
4,202001-68,36,71.5,2.42,97.00026049968625
4,202001-68,37,72.5,1.568,98.56826049968625
4,202001-68,38,72.5,2.444,101.01226049968625
4,202001-68,39,73.5,1.572,102.58426049968625
4,202001-68,40,74.5,2.338,104.92226049968625
4,202001-68,41,76.5,1.748,106.67026049968625
4,202001-68,42,77.5,2.111,108.78126049968625
4,202001-68,43,79.0,2.479,111.26026049968625
4,202001-68,44,80.0,1.955,113.21526049968625
4,202001-68,45,81.0,2.125,115.34026049968625
4,202001-68,46,81.75,2.208,117.54826049968625
4,202001-68,47,81.0,2.186,119.73426049968626
4,202001-68,48,82.0,1.991,121.72526049968626
