id,age,dfi,weight
3,17,2.293,64.0
3,18,2.634,64.75
3,19,2.529,66.5
3,20,2.234,67.0
3,21,2.815,68.75
3,22,2.456,69.5
3,23,2.54,70.75
3,24,2.672,71.0
3,25,2.467,72.25
3,26,1.626,73.165
3,27,3.324,74.5
3,28,2.017,74.5
3,29,2.585,76.25
3,30,2.542,76.0
3,31,2.108,78.0
3,32,2.771,79.5
3,33,2.082,80.5
3,34,2.86,82.5
3,35,1.914,83.5
3,36,3.495,84.0
3,37,1.792,86.0
3,38,2.857,85.5
3,39,2.528,87.5
3,40,1.889,88.341
3,41,2.588,89.0
3,42,2.886,90.5
3,43,2.168,91.523
3,44,2.696,92.25
3,45,2.554,94.0
3,46,2.566,95.0
3,47,2.95,95.5
3,48,2.632,97.0
3,49,2.641,99.0
3,50,1.672,98.128
3,51,1.685,98.75
3,52,1.69,98.5
3,53,3.314,99.75
3,54,2.405,101.0
3,55,2.799,103.5
3,56,2.366,102.75
3,57,2.083,103.5
3,58,1.73,103.5
3,59,1.998,104.648
3,60,2.55,104.5
3,61,2.863,106.5
3,62,1.686,108.0
3,63,2.898,107.25
3,64,1.629,107.0
3,65,2.133,106.875
3,66,1.197,107.5
3,67,1.394,107.5
3,68,2.127,108.0
3,69,1.051,108.5
3,70,1.582,108.5
3,71,1.584,109.0
3,72,1.598,110.5
3,73,1.667,110.527
3,74,1.687,111.024
3,75,1.707,111.521
3,76,1.788,112.75
3,77,1.903,112.0
100,1,0.904,35.0
100,2,1.014,41.75
100,3,1.228,38.5
100,4,1.403,39.0
100,5,1.817,40.5
100,6,1.572,41.5
100,7,1.71,42.5
100,8,1.613,43.5
100,9,1.736,44.0
100,10,1.782,44.25
100,11,1.883,45.5
100,12,1.721,46.0
100,13,1.843,47.5
100,14,1.723,48.5
100,15,1.416,48.5
100,16,1.718,49.0
100,17,1.668,50.5
100,18,1.739,51.0
100,19,1.623,52.0
100,20,2.155,53.0
100,21,1.896,54.5
100,22,2.202,55.5
100,23,1.834,56.0
100,24,1.973,57.0
100,25,1.778,58.0
100,26,1.951,58.75
100,27,2.02,60.0
100,28,2.122,61.5
100,29,1.741,61.5
100,30,2.531,63.0
100,31,2.26,64.0
100,32,0.49,65.265
100,33,1.433,66.5
100,34,2.119,68.25
100,35,2.09,68.5
100,36,1.998,69.0
100,37,2.58,70.5
100,38,2.425,70.5
100,39,2.074,72.0
100,40,2.389,73.5
100,41,2.235,75.0
100,42,2.425,76.0
100,43,2.286,76.75
100,44,2.501,78.5
100,45,2.296,79.25
100,46,2.166,80.0
100,47,2.571,81.0
100,48,2.469,82.0
100,49,2.425,84.0
100,50,2.473,84.25
100,51,2.503,86.0
100,52,2.75,86.5
100,53,2.647,88.25
100,54,1.675,88.5
100,55,3.307,90.0
100,56,2.364,91.0
100,57,1.815,91.0
100,58,2.735,92.25
100,59,2.272,93.5
100,60,2.013,94.5
100,61,2.775,94.25
100,62,2.942,95.5
100,63,1.744,97.25
100,64,3.813,100.5
100,65,2.547,99.5
100,66,2.295,100.75
100,67,2.356,100.75
100,68,3.11,102.5
100,69,3.027,104.5
100,70,2.478,104.625
100,71,2.5,105.0
100,72,2.449,107.5
100,73,2.658,107.871
100,74,2.664,108.908
100,75,2.67,109.946
100,76,2.566,111.0
100,77,2.79,112.0
46,1,0.533,28.5
46,2,1.216,29.0
46,3,1.275,29.0
46,4,1.27,30.0
46,5,1.482,30.5
46,6,1.508,31.5
46,7,1.373,32.25
46,8,1.394,33.0
46,9,1.625,33.5
46,10,1.708,34.0
46,11,1.421,35.0
46,12,1.625,36.0
46,13,1.655,37.0
46,14,1.802,38.0
46,15,1.621,38.5
46,16,1.759,39.0
46,17,1.693,39.25
46,18,2.002,41.0
46,19,1.838,42.0
46,20,1.703,42.5
46,21,1.594,43.5
46,22,1.771,44.5
46,23,1.981,45.5
46,24,1.908,46.5
46,25,1.865,47.0
46,26,2.179,48.0
46,27,1.848,48.5
46,28,2.073,49.75
46,29,2.224,51.0
46,30,2.228,51.5
46,31,2.165,52.75
46,32,2.189,53.5
46,33,2.233,54.5
46,34,1.952,55.75
46,35,2.426,57.0
46,36,2.238,58.5
46,37,2.091,58.5
46,38,2.187,59.0
46,39,2.077,60.5
46,40,2.284,61.5
46,41,2.097,62.75
46,42,2.146,64.0
46,43,2.647,65.5
46,44,2.269,66.0
46,45,2.324,67.0
46,46,2.071,68.5
46,47,2.246,68.0
46,48,2.696,70.0
46,49,1.993,71.0
46,50,2.558,72.0
46,51,2.241,72.5
46,52,2.668,74.0
46,53,2.125,75.0
46,54,2.507,75.0
46,55,2.459,76.0
46,56,2.367,76.5
46,57,1.797,77.5
46,58,2.31,78.25
46,59,1.99,79.75
46,60,3.115,80.0
46,61,2.505,82.0
46,62,3.226,83.75
46,63,2.755,84.0
46,64,2.551,84.5
46,65,3.061,85.0
46,66,3.024,85.75
46,67,2.949,86.75
46,68,3.104,88.5
46,69,3.1,90.0
46,70,2.796,89.0
46,71,2.855,91.0
46,72,2.761,93.0
46,73,2.871,92.858
46,74,2.862,93.783
46,75,2.852,94.709
46,76,2.737,95.5
46,77,2.812,96.25
92,1,1.002,28.5
92,2,1.642,28.75
92,3,1.077,30.5
92,4,1.247,31.0
92,5,1.469,31.5
92,6,1.453,33.25
92,7,1.346,33.5
92,8,1.703,33.75
92,9,1.928,35.0
92,10,1.721,36.0
92,11,1.718,37.0
92,12,1.831,37.5
92,13,1.826,38.0
92,14,1.631,39.5
92,15,1.795,40.0
92,16,1.859,40.25
92,17,1.798,42.0
92,18,1.905,43.0
92,19,1.955,44.0
92,20,2.222,45.0
92,21,1.909,45.0
92,22,1.685,45.5
92,23,2.216,47.0
92,24,1.538,48.0
92,25,2.091,48.5
92,26,1.849,49.0
92,27,1.61,50.5
92,28,2.384,51.75
92,29,2.115,53.0
92,30,1.556,53.0
92,31,2.057,53.5
92,32,1.986,55.0
92,33,1.931,55.5
92,34,2.48,57.0
92,35,2.086,57.875
92,36,2.216,59.5
92,37,2.001,60.0
92,38,1.957,61.0
92,39,2.081,61.5
92,40,2.114,63.0
92,41,2.214,64.75
92,42,1.894,66.0
92,43,2.418,66.5
92,44,2.189,68.5
92,45,2.615,69.0
92,46,2.436,70.5
92,47,2.146,71.75
92,48,1.776,72.5
92,49,2.824,73.5
92,50,1.916,74.5
92,51,2.947,75.0
92,52,2.36,74.5
92,53,2.767,77.5
92,54,3.014,79.0
92,55,2.455,80.0
92,56,2.9,81.0
92,57,2.507,82.0
92,58,2.781,83.25
92,59,2.411,83.5
92,60,2.519,85.0
92,61,2.912,85.75
92,62,2.864,87.25
92,63,2.568,88.0
92,64,2.805,89.75
92,65,3.033,90.25
92,66,2.758,90.5
92,67,2.473,91.75
92,68,2.896,93.0
92,69,2.721,95.5
92,70,2.832,95.0
92,71,2.664,96.0
92,72,2.024,97.0
92,73,2.565,97.944
92,74,2.544,98.89
92,75,2.522,99.836
92,76,2.546,100.5
92,77,2.747,102.0
68,1,1.392,39.55
68,2,1.185,40.525
68,3,0.923,41.25
68,4,1.207,42.25
68,5,1.675,43.0
68,6,1.813,44.5
68,7,1.788,46.0
68,8,2.114,47.0
68,9,1.671,47.0
68,10,1.747,49.0
68,11,1.543,48.0
68,12,1.851,48.5
68,13,2.014,49.5
68,14,2.167,50.0
68,15,1.939,51.25
68,16,1.932,52.5
68,17,2.134,54.0
68,18,2.024,54.75
68,19,2.125,55.5
68,20,1.806,58.0
68,21,0.849,58.0
68,22,1.305,57.5
68,23,2.868,57.5
68,24,2.145,61.0
68,25,2.001,63.25
68,26,2.096,64.5
68,27,1.951,65.5
68,28,1.957,66.0
68,29,2.153,67.0
68,30,2.433,67.0
68,31,2.108,69.0
68,32,2.281,70.0
68,33,2.537,70.5
68,34,2.353,72.0
68,35,2.594,72.5
68,36,2.154,74.5
68,37,2.651,75.5
68,38,2.439,76.5
68,39,2.53,77.0
68,40,2.507,79.0
68,41,2.58,80.5
68,42,2.575,81.75
68,43,2.786,81.5
68,44,2.219,82.5
68,45,3.202,83.75
68,46,2.22,85.5
68,47,2.823,86.25
68,48,2.388,87.75
68,49,2.37,88.75
68,50,2.687,89.0
68,51,2.878,91.5
68,52,3.092,92.5
68,53,2.745,93.592
68,54,2.73,94.706
68,55,2.715,95.819
68,56,2.97,98.5
68,57,2.697,98.5
68,58,2.637,98.5
68,59,2.314,100.75
68,60,2.538,101.0
68,61,1.963,99.5
68,62,2.786,101.25
68,63,2.396,102.25
68,64,2.663,104.5
68,65,2.605,105.0
68,66,2.009,106.75
68,67,2.222,106.994
68,68,2.179,108.0
68,69,2.707,108.0
68,70,3.214,110.5
68,71,2.896,111.5
13,1,0.969,40.5
13,2,1.539,41.5
13,3,1.308,42.0
13,4,1.332,42.5
13,5,1.4,43.5
13,6,1.874,44.0
13,7,1.588,45.5
13,8,1.402,46.5
13,9,1.681,47.5
13,10,1.575,48.5
13,11,1.506,48.5
13,12,1.582,48.0
13,13,1.97,49.0
13,14,1.69,49.5
13,15,2.125,50.5
13,16,1.734,51.5
13,17,2.089,53.5
13,18,1.974,54.5
13,19,1.996,55.5
13,20,1.847,56.5
13,21,2.011,59.0
13,22,2.222,60.0
13,23,1.943,61.0
13,24,2.402,62.75
13,25,2.164,64.0
13,26,1.991,65.25
13,27,2.313,66.0
13,28,2.185,66.5
13,29,2.091,67.5
13,30,2.192,68.25
13,31,2.231,69.5
13,32,2.635,70.25
13,33,2.4,72.0
13,34,2.362,73.0
13,35,2.069,73.0
